# 中國用語 → 台灣用語 替換表（用於「正規化」而非刪除筆數）
# 格式：中國用語<Tab>台灣用語，每行一組；# 開頭為註解。
# 前處理加 --normalize-mainland-to-tw 時會替換內容中出現的左欄為右欄。
軟件	軟體
硬件	硬體
視頻	影片
信息	資訊
網絡	網路
互聯網	網際網路
程序	程式
操作系統	作業系統
數據庫	資料庫
數據	資料
打印機	印表機
打印	列印
硬盤	硬碟
屏幕	螢幕
鼠標	滑鼠
U盤	隨身碟
博客	部落格
播客	Podcast
博主	部落客
數碼	數位
鏈路	連結
門戶網站	入口網站
在線	線上
渠道	管道
運營	營運
地道	道地
啥	什麼
啥？	什麼？
小編	小編
聯繫	聯絡
發佈	發布
佈局	版面配置
